Datetime,Adj Close,Close,High,Low,Open,Volume
2024-11-24 00:00:00+00:00,97769.3359375,97769.3359375,97769.3359375,97769.3359375,97769.3359375,0
2024-11-24 00:02:00+00:00,97772.09375,97772.09375,97772.09375,97772.09375,97772.09375,0
2024-11-24 00:03:00+00:00,97812.5078125,97812.5078125,97812.5078125,97812.5078125,97812.5078125,0
2024-11-24 00:04:00+00:00,97803.515625,97803.515625,97803.515625,97803.515625,97803.515625,8179712
2024-11-24 00:05:00+00:00,97779.984375,97779.984375,97779.984375,97779.984375,97779.984375,155648
2024-11-24 00:06:00+00:00,97832.2890625,97832.2890625,97832.2890625,97832.2890625,97832.2890625,0
2024-11-24 00:07:00+00:00,97819.25,97819.25,97819.25,97819.25,97819.25,1433600
2024-11-24 00:08:00+00:00,97804.671875,97804.671875,97804.671875,97804.671875,97804.671875,0
2024-11-24 00:09:00+00:00,97842.8671875,97842.8671875,97842.8671875,97842.8671875,97842.8671875,0
2024-11-24 00:10:00+00:00,97806.0234375,97806.0234375,97806.0234375,97806.0234375,97806.0234375,0
2024-11-24 00:12:00+00:00,97950.765625,97950.765625,97950.765625,97950.765625,97950.765625,0
2024-11-24 00:14:00+00:00,97939.0390625,97939.0390625,97939.0390625,97939.0390625,97939.0390625,20643840
2024-11-24 00:15:00+00:00,97904.9765625,97904.9765625,97904.9765625,97904.9765625,97904.9765625,1957888
2024-11-24 00:16:00+00:00,97957.8671875,97957.8671875,97957.8671875,97957.8671875,97957.8671875,1851392
2024-11-24 00:17:00+00:00,97952.8828125,97952.8828125,97952.8828125,97952.8828125,97952.8828125,0
2024-11-24 00:18:00+00:00,97965.515625,97965.515625,97965.515625,97965.515625,97965.515625,0
2024-11-24 00:19:00+00:00,97992.109375,97992.109375,97992.109375,97992.109375,97992.109375,0
2024-11-24 00:20:00+00:00,97988.6015625,97988.6015625,97988.6015625,97988.6015625,97988.6015625,0
2024-11-24 00:21:00+00:00,98009.0,98009.0,98009.0,98009.0,98009.0,0
2024-11-24 00:22:00+00:00,97987.375,97987.375,97987.375,97987.375,97987.375,0
2024-11-24 00:24:00+00:00,98023.1328125,98023.1328125,98023.1328125,98023.1328125,98023.1328125,17629184
2024-11-24 00:26:00+00:00,98049.2265625,98049.2265625,98049.2265625,98049.2265625,98049.2265625,0
2024-11-24 00:27:00+00:00,98057.828125,98057.828125,98057.828125,98057.828125,98057.828125,1740800
2024-11-24 00:28:00+00:00,98044.46875,98044.46875,98044.46875,98044.46875,98044.46875,0
2024-11-24 00:29:00+00:00,98068.265625,98068.265625,98068.265625,98068.265625,98068.265625,0
2024-11-24 00:30:00+00:00,98076.8046875,98076.8046875,98076.8046875,98076.8046875,98076.8046875,2580480
2024-11-24 00:31:00+00:00,98052.0,98052.0,98052.0,98052.0,98052.0,0
2024-11-24 00:32:00+00:00,98024.453125,98024.453125,98024.453125,98024.453125,98024.453125,0
2024-11-24 00:33:00+00:00,98034.5625,98034.5625,98034.5625,98034.5625,98034.5625,0
2024-11-24 00:34:00+00:00,98016.9765625,98016.9765625,98016.9765625,98016.9765625,98016.9765625,0
2024-11-24 00:36:00+00:00,97933.4921875,97933.4921875,97933.4921875,97933.4921875,97933.4921875,0
2024-11-24 00:39:00+00:00,97876.1015625,97876.1015625,97876.1015625,97876.1015625,97876.1015625,0
2024-11-24 00:40:00+00:00,97882.3125,97882.3125,97882.3125,97882.3125,97882.3125,0
2024-11-24 00:42:00+00:00,97952.6796875,97952.6796875,97952.6796875,97952.6796875,97952.6796875,0
2024-11-24 00:43:00+00:00,97926.453125,97926.453125,97926.453125,97926.453125,97926.453125,0
2024-11-24 00:45:00+00:00,97920.46875,97920.46875,97920.46875,97920.46875,97920.46875,0
2024-11-24 00:46:00+00:00,97906.5390625,97906.5390625,97906.5390625,97906.5390625,97906.5390625,0
2024-11-24 00:48:00+00:00,97936.6875,97936.6875,97936.6875,97936.6875,97936.6875,0
2024-11-24 00:51:00+00:00,98004.9375,98004.9375,98004.9375,98004.9375,98004.9375,0
2024-11-24 00:52:00+00:00,97965.5546875,97965.5546875,97965.5546875,97965.5546875,97965.5546875,9801728
2024-11-24 00:54:00+00:00,97969.3125,97969.3125,97969.3125,97969.3125,97969.3125,0
2024-11-24 00:55:00+00:00,98019.1875,98019.1875,98019.1875,98019.1875,98019.1875,0
2024-11-24 00:57:00+00:00,98048.421875,98048.421875,98048.421875,98048.421875,98048.421875,0
2024-11-24 00:58:00+00:00,98033.0390625,98033.0390625,98033.0390625,98033.0390625,98033.0390625,8704000
2024-11-24 01:00:00+00:00,98024.765625,98024.765625,98024.765625,98024.765625,98024.765625,0
2024-11-24 01:02:00+00:00,98066.15625,98066.15625,98066.15625,98066.15625,98066.15625,0
2024-11-24 01:03:00+00:00,98086.9296875,98086.9296875,98086.9296875,98086.9296875,98086.9296875,0
2024-11-24 01:04:00+00:00,98099.8203125,98099.8203125,98099.8203125,98099.8203125,98099.8203125,1785856
2024-11-24 01:05:00+00:00,98065.109375,98065.109375,98065.109375,98065.109375,98065.109375,15278080
2024-11-24 01:06:00+00:00,98071.234375,98071.234375,98071.234375,98071.234375,98071.234375,0
2024-11-24 01:07:00+00:00,98088.765625,98088.765625,98088.765625,98088.765625,98088.765625,0
2024-11-24 01:08:00+00:00,98212.25,98212.25,98212.25,98212.25,98212.25,4341760
2024-11-24 01:09:00+00:00,98296.015625,98296.015625,98296.015625,98296.015625,98296.015625,15204352
